userId,dataTrimitere,dataFinalizare,stareCerere,categorieCerere,comentariu,path,motivRespingere
0,2026-05-10T00:10:30.043Z,,incarcataDeStudent,adeverintaStudent,test,db/adeverinte/378fe18aaa28.adeverinta,
0,2026-05-10T00:10:30.134Z,,incarcataDeStudent,adeverintaStudent,test,db/adeverinte/07fb5ea92ddc.adeverinta,
0,2026-05-10T00:10:30.156Z,,finalizata,adeverintaStudent,gabi-confirm-1778371830155,/tmp/test_adev2612103198091660550.adeverinta,
0,2026-05-10T00:10:30.322Z,,incarcataDeStudent,adeverintaStudent,gabi-refuse-1778371830321,/tmp/test_adev17220055221498405393.adeverinta,Reason from decan
0,2026-05-10T00:14:48.440Z,,incarcataDeStudent,adeverintaStudent,test,db/adeverinte/c8e0391dcfd3.adeverinta,
0,2026-05-10T00:14:48.530Z,,incarcataDeStudent,adeverintaStudent,test,db/adeverinte/53dae4e5bad4.adeverinta,
0,2026-05-10T00:14:48.559Z,,incarcataDeStudent,adeverintaStudent,test,db/adeverinte/9c630179188b.adeverinta,
0,2026-05-10T00:14:48.568Z,,incarcataDeStudent,adeverintaStudent,test,db/adeverinte/a6e5278528b0.adeverinta,
0,2026-05-10T00:16:29.319Z,,trimisaLaDecan,adeverintaStudent,bratosin-refuse-1778372189277,db/adeverinte/57a4361911bb.adeverinta,
0,2026-05-10T00:16:29.538Z,,finalizata,adeverintaStudent,bratosin-confirm-1778372189537,db/adeverinte/6df9f569c44a.adeverinta,
0,2026-05-10T00:16:29.661Z,,incarcataDeStudent,adeverintaStudent,patrascu-refuse-1778372189660,db/adeverinte/df0fb14673b0.adeverinta,Lipsa stampila biblioteca
0,2026-05-10T00:16:29.691Z,,finalizata,adeverintaStudent,patrascu-approve-1778372189690,db/adeverinte/97c4112377d3.adeverinta,
0,2026-05-10T00:17:25.015Z,,incarcataDeStudent,adeverintaStudent,bratosin-refuse-1778372244968,db/adeverinte/6b9d0759dd1a.adeverinta,
0,2026-05-10T00:17:25.240Z,,finalizata,adeverintaStudent,bratosin-confirm-1778372245239,db/adeverinte/0470f9244db6.adeverinta,
0,2026-05-10T00:17:25.361Z,,incarcataDeStudent,adeverintaStudent,patrascu-refuse-1778372245360,db/adeverinte/c0e85427671b.adeverinta,Lipsa stampila biblioteca
0,2026-05-10T00:17:25.398Z,,finalizata,adeverintaStudent,patrascu-approve-1778372245397,db/adeverinte/f4d8922632f8.adeverinta,
0,2026-05-10T10:44:47.108Z,,incarcataDeStudent,adeverintaStudent,patrascu-refuse-1778409887094,db/adeverinte/e63c86b08357.adeverinta,Lipsa stampila biblioteca
0,2026-05-10T10:44:47.198Z,,finalizata,adeverintaStudent,patrascu-approve-1778409887197,db/adeverinte/90dfcdc55425.adeverinta,
0,2026-05-10T10:44:47.261Z,,incarcataDeStudent,adeverintaStudent,bratosin-refuse-1778409887261,db/adeverinte/9ac63830ff92.adeverinta,
0,2026-05-10T10:44:47.289Z,,finalizata,adeverintaStudent,bratosin-confirm-1778409887288,db/adeverinte/ee754a4c897f.adeverinta,
0,2026-05-10T18:46:52.042Z,,incarcataDeStudent,adeverintaStudent,patrascu-refuse-1778438812014,db/adeverinte/558e7c26d935.adeverinta,Lipsa stampila biblioteca
0,2026-05-10T18:46:52.162Z,,finalizata,adeverintaStudent,patrascu-approve-1778438812161,db/adeverinte/5a3917c85d4a.adeverinta,
0,2026-05-10T18:46:52.259Z,,incarcataDeStudent,adeverintaStudent,bratosin-refuse-1778438812259,db/adeverinte/6c21694e120e.adeverinta,
0,2026-05-10T18:46:52.305Z,,finalizata,adeverintaStudent,bratosin-confirm-1778438812305,db/adeverinte/96b3822493aa.adeverinta,
